* Iniciando processo de embarcar o texto. (inf-001)

        * O arquivo "agente.txt" sera utilizado. (inf-002)

        * O texto possui 628 palavras no total. (inf-003)

        * 358 são palavras diferentes entre si. (inf-004)

        Count    Word
        1        homem
        1        ano
        1        contato
        1        dizendo
        3        as
        1        contra
        1        obter
        2        dois
        1        recursos
        1        dou
        1        rodo
        1        igual
        1        minha
        1        menos
        1        vista
        1        essa
        1        ser
        1        us
        2        mal
        1        outro
        1        dos
        1        atras
        6        cia
        1        nacionalidade
        1        divertido
        1        casa
        1        nna
        2        nsa
        2        chegaram
        3        tinham
        1        top
        1        the
        1        dama
        1        jumento
        1        quantia
        1        embaixada
        2        terra
        32       a
        1        deixado
        1        pelas
        1        etc
        2        nem
        1        estao
        1        agora
        1        versao
        1        havia
        1        lhe
        2        seguranca
        1        tendes
        1        irmaos
        12       o
        11       os
        1        hackear
        1        telhado
        1        fora
        1        fio
        1        novo
        1        pman
        1        senado
        2        troca
        1        abaixando
        1        grandes
        1        mil
        1        detonou
        14       que
        1        espiado
        1        tao
        1        mandou
        1        arraial
        1        destruiram
        1        espias
        1        requisitada
        1        virar
        1        pegado
        3        cidade
        10       com
        1        israelitas
        1        miudo
        2        passado
        1        caminho
        1        achou
        1        garantem
        4        depois
        1        familia
        1        noticias
        1        queria
        1        vilas
        1        vermelho
        1        puseram
        1        recebendo
        1        hebreus
        1        moca
        2        tiraram
        1        concluiu
        1        foram
        1        interno
        2        continua
        3        das
        1        cabeca
        1        fofoqueiro
        1        enviados
        1        historia
        1        vasi
        1        prostituta
        1        onde
        1        angela
        2        nada
        1        fugirem
        1        estar
        1        firme
        1        tal
        1        tambem
        1        l'evna
        1        dez
        1        sei
        2        ele
        2        josue
        1        barraco
        1        feito
        1        tanta
        3        como
        1        causa
        1        russa
        1        ego
        1        apesar
        1        assim
        1        jogos
        1        tiveram
        1        enxerga
        6        foi
        2        documentos
        3        era
        1        aceitando
        1        tv
        5        na
        1        iria
        1        profissao
        1        merkel
        1        tropas
        1        hoje
        1        negra
        1        paises
        1        sairam
        1        celular
        1        fechar
        1        britanico
        1        ambicoes
        1        protocolo
        1        trabalhando
        1        ze
        9        do
        1        lado
        1        durante
        1        quero
        1        internacionais
        5        por
        1        ficar
        1        boa
        1        moises
        1        tortura
        1        senhor
        1        investigava
        1        jurado
        1        olha
        4        ate
        1        edward
        1        ruela
        2        governo
        3        markus
        1        claro
        10       da
        1        final
        1        serie
        2        ver
        2        deus
        1        misteriosamente
        1        chama
        1        geracao
        1        branco
        1        disse
        1        houve
        4        mas
        1        misericordia
        1        incognitos
        2        entao
        1        avaliar
        1        bronca
        1        br
        1        permaneceu
        1        indignados
        1        ou
        1        disso
        1        tradicoes
        1        fazendo
        3        ela
        1        fe
        1        triplo
        1        chapman
        1        palmas
        1        incognita
        1        duplo
        6        nao
        1        pela
        1        mane
        1        nome
        1        muita
        1        agentes
        1        tirai
        1        boi
        4        sua
        1        americans
        3        ja
        1        viuva
        1        manning
        1        unica
        1        anos
        15       de
        1        paradas
        1        pai
        1        tiver
        1        wikileaks
        1        bobo
        1        secret
        1        preso
        1        ocultou
        2        agente
        1        justo
        2        muito
        1        cidades
        1        velho
        2        dinheiro
        1        vitima
        1        espioes:
        4        quanto
        2        comite
        1        preto
        1        dupla
        1        estava
        1        manja
        1        basicamente
        1        totalmente
        1        rei
        1        homens
        1        presa
        1        oferecia
        1        egito
        1        mar
        2        primeira
        2        mulher
        7        em
        1        vendeu
        1        passando
        1        israel
        1        voltaram
        2        voces
        3        raabe
        1        favores
        1        agencia
        2        vez
        1        potencial
        1        chamada
        1        parentela
        1        solta
        1        cair
        1        relacoes
        1        emigrou
        1        russia
        1        snowden
        3        se
        1        despistou
        1        mail
        8        para
        1        ultima
        1        cha
        1        r
        1        la
        1        fama
        1        computadores
        1        mae
        1        alemao
        1        economicos
        1        aos
        1        eles
        2        alemanha
        4        seu
        2        uma
        1        forte
        1        chelsea
        1        porem
        1        sorte
        1        menino
        1        entraram
        1        longas
        1        anna
        1        antiga
        1        defesas
        4        tudo
        1        envolvendo
        1        sera
        1        casou
        28       e
        2        fez
        1        gado
        2        tinha
        2        mais
        1        nerd
        1        habitual
        1        toda
        1        quase
        1        outros
        1        hackeou
        1        programa
        1        trabalha
        2        quando
        1        entrai
        1        confessou
        1        talvez
        3        jerico
        1        gente
        2        eu
        1        isso
        1        espiao
        2        pior
        1        real
        2        dessa
        1        --
        1        prometida
        1        arte
        1        eua
        4        espionagem
        1        ma
        1        todo
        1        cometidos
        8        um
        1        pessimas
        1        incrivel
        1        estrategico
        1        seus
        2        desde
        2        mundo
        1        jovens
        1        excessos
        6        espioes
        1        arrumou
        1        secretos
        4        ao
        1        armando
        1        segunda
        1        encontraram
        1        dicas
        1        bush
        1        ilegais
        1        vencedores
        1        sim
        1        espada
        1        enviar
        1        bater
        2        parte

        628      358

* Programa finalizado. (inf-005)
